organisation,address,name
TCS,BEACH RD,Abdul Kadir Pandi
Accenture,BEDOK STH AVE 1,A. Ali
ICICI Bank,CANTONMENT RD,A-Do
Cognizant,CHAI CHEE RD,A. Ghani Hamid
HDFC Bank,CHANGI VILLAGE RD,A. Halim Hassan
Infosys,DELTA AVE,A. K. Zai
L&T,DOVER RD,A. Rahman
Capgemini,EUNOS CRES,A. Rahman Basrun
Tech Mahindra,EVERTON PK,A. Rahman Onn
HCL Technologies,GEYLANG SERAI,A. Ramlie
Tata Motors,GHIM MOH RD,A. Romzi
IBM,HAIG RD,A. Samad Ismail
Reliance jio,HOLLAND CL,A. Thiyaga Raju
Genpact,HOUGANG AVE 3,Aaron Aziz
Axis Bank,JLN KUKOH,Leo Abaya
Wipro,JLN BT MERAH,Abbas Abu Amin
Concentrix Daksh Service...,JOO CHIAT RD,Abbas Ali Mohamed Irshad
Vodafone,KEMPAS RD,Abdolah Lamat
HDB Financial Services,KG KAYU RD,Abdul Aziz Karim
Bharti Airtel,LOR 7 TOA PAYOH,Abdul Aziz Pakkeer Mohamed
Kotak Mahindra Bank,LOR LEW LIAN,Abdul Halim Haron
Amazon,MARINE TER,Abdul Hamid bin Haji Jumat
Reliance,MARSILING DR,Abdul Jalil bin Abdul Kadir
Hinduja Global Solutions,MAUDE RD,Abdul Jalil Haji Noor
Bajaj Finserv,PINE CL,Abdul Kadir Ibrahim
IndusInd Bank,PUNGGOL DR,Syed Abdul Kadir
Samsung,QUEEN'S RD,Abdul Majid Ismail
Indian Army,ST. GEORGE'S RD,Abdul Multhalib Musa
Mahindra & Mahindra,TAMPINES WALK,Abdul Nasser Kamarudin
Ericsson,TECK WHYE AVE,Abdul Rahim bin Abdul Rahman
Maruti Suzuki,TELOK BLANGAH CRES,Abdul Rahim Ishak
IDEA Cellular,TG PAGAR PLAZA,Abdul Rahim Jalil
Intelenet Global Service...,THOMSON RD,Abdul Rahim Kajai
WNS,TOH YI DR,Abdul Rahman Mohamad
Teleperformance,UPP ALJUNIED LANE,Abdul Rahman Rais
Reliance Retail,WOODLANDS IND PK E3,Sultan Abdul Rahman
ICICI Prudential Life In...,CANTONMENT RD,Temenggong Abdul Rahman
Cipla Pharmaceutical,EUNOS CRES,Tunku Abdul Rahman
Aegis Global,EVERTON PK,Tun Abdul Razak Hussein
HSBC,KEMPAS RD,Abdul Salam Ayub
Janalakshmi Financial Se...,TELOK BLANGAH CRES,Abdul Salim Harun
Reliance Communications,TELOK PAKU RD,Abdul Samad
Dr. Reddy's,THOMSON RD,Abdul Samad Abdul Wahab
Sutherland Global Servic...,TOH YI DR,Abdul Samad Salimin
DXC Technology,CANTONMENT RD,Abdul Wahab bin Hamzah
Hewlett-Packard,KEMPAS RD,Abdul Wahid Baba
